alignment_id,candidate_id,ku_id,external_source,external_id,method,decision,evidence_ref,accessed_date
aln-227,places/via-margutta,units/places/via-margutta,Wikidata,Q1060690,wikimedia,same,REV-034,2026-09-10
aln-228,procedures/artist-title-conferral,units/procedures/artist-title-conferral,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-229,procedures/commission-contracting,units/procedures/commission-contracting,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-230,procedures/commission-payment,units/procedures/commission-payment,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-231,procedures/exhibition-self-promotion,units/procedures/exhibition-self-promotion,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-232,procedures/iconographic-consultation,units/procedures/iconographic-consultation,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-233,procedures/modello-approval,units/procedures/modello-approval,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-234,procedures/patron-funded-study-travel,units/procedures/patron-funded-study-travel,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-235,procedures/patronage-introduction,units/procedures/patronage-introduction,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-236,procedures/per-figure-pricing,units/procedures/per-figure-pricing,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-237,procedures/studio-stock-sale,units/procedures/studio-stock-sale,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-238,terms/altarpiece,units/terms/altarpiece,Wikidata,Q15711026,wikimedia,same,REV-034,2026-09-10
aln-239,terms/art-dealer,units/terms/art-dealer,Wikidata,Q173950,wikimedia,same,REV-034,2026-09-10
aln-240,terms/artistic-independence,units/terms/artistic-independence,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-241,terms/artistic-temperament,units/terms/artistic-temperament,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-242,terms/bentveughels,units/terms/bentveughels,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-243,terms/bohemian-artists,units/terms/bohemian-artists,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-244,terms/bozzetto,units/terms/bozzetto,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-245,terms/caparra,units/terms/caparra,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-246,terms/cavaliere-abito-cristo,units/terms/cavaliere-abito-cristo,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-247,terms/count-palatine,units/terms/count-palatine,Wikidata,Q22932,wikimedia,same,REV-034,2026-09-10
aln-248,terms/devotional-picture,units/terms/devotional-picture,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-249,terms/dilettante,units/terms/dilettante,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-250,terms/famiglia,units/terms/famiglia,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-251,terms/fresco,units/terms/fresco,Wikidata,Q134194,wikimedia,same,REV-034,2026-09-10
aln-252,terms/gallery-picture,units/terms/gallery-picture,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-253,terms/genius,units/terms/genius,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-254,terms/gentiluomo-onore,units/terms/gentiluomo-onore,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-255,terms/history-painting,units/terms/history-painting,Wikidata,Q742333,wikimedia,same,REV-034,2026-09-10
aln-256,terms/holy-year,units/terms/holy-year,Wikidata,Q838794,wikimedia,same,REV-034,2026-09-10
aln-257,terms/inspiration,units/terms/inspiration,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-258,terms/modello,units/terms/modello,Wikidata,Q3859830,wikimedia,same,REV-034,2026-09-10
aln-259,terms/nepotism,units/terms/nepotism,Wikidata,Q161165,wikimedia,same,REV-034,2026-09-10
aln-260,terms/news-sheets,units/terms/news-sheets,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-261,terms/nostro-pittore,units/terms/nostro-pittore,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
